group;time_m
Microscolex_10;12
Microscolex_10;NA
Microscolex_10;3.77
Microscolex_10;2.99
Microscolex_10;1.5
Microscolex_10;8.88
Microscolex_10;NA
Microscolex_10;4.82
Microscolex_10;2.78
Microscolex_10;3.45
Microscolex_10;5.65
Microscolex_10;5
Microscolex_10;1.33
Microscolex_10;NA
Microscolex_10;1.5
Calycopteryx_10;4
Calycopteryx_10;NA
Calycopteryx_10;4
Calycopteryx_10;9.5
Calycopteryx_10;4.5
Calycopteryx_10;3.42
Calycopteryx_10;
Calycopteryx_10;13.83
Calycopteryx_10;7
Calycopteryx_10;4.67
Calycopteryx_10;13.42
Calycopteryx_10;1.83
Calycopteryx_10;9.5
Calycopteryx_10;3.5
Pringleophaga_10;60
Pringleophaga_10;9.85
Pringleophaga_10;4.78
Pringleophaga_10;7
Pringleophaga_10;60
Pringleophaga_10;6
Pringleophaga_10;60
Pringleophaga_10;60
Microscolex_1;NA
Microscolex_1;22.25
Microscolex_1;57.5
Microscolex_1;12.75
Microscolex_1;NA
Microscolex_1;2.72
Microscolex_1;41.5
Microscolex_1;10.85
Microscolex_1;2.72
Microscolex_1;17.67
Microscolex_1;14.83
Microscolex_1;5.62
Microscolex_1;26.95
Microscolex_1;3.98
Microscolex_1;57.5
Calycopteryx_1;NA
Calycopteryx_1;7.62
Calycopteryx_1;NA
Calycopteryx_1;5.42
Calycopteryx_1;32
Calycopteryx_1;NA
Calycopteryx_1;6.42
Calycopteryx_1;16.5
Calycopteryx_1;NA
Calycopteryx_1;3.83
Calycopteryx_1;10.67
Calycopteryx_1;25
Calycopteryx_1;NA
Calycopteryx_1;24.33
Calycopteryx_1;NA
Calycopteryx_1;16.28
Calycopteryx_1;45
Calycopteryx_1;19.83
Calycopteryx_1;25
Calycopteryx_1;16.15
Calycopteryx_1;25
Calycopteryx_1;29.22
Pringleophaga_1;NA
Pringleophaga_1;NA
Pringleophaga_1;NA
Pringleophaga_1;NA
Pringleophaga_1;NA
Pringleophaga_1;NA
Pringleophaga_1;NA
Pringleophaga_1;NA
