Name;Description;;;;;;;;
choice1;If the prey was chosen (1) or not (0) in the first hour;;;;;;;;
order;The order in which that choice was made by the individual (from 1-2) when a choice was made when known;;;;;;;;
size;Average size of the prey (length measured in mm);;;;;;;;
species;Species of prey;;;;;;;;
temp;Temperature conditions where the trial took place (4=4C, 10=10C, and 15=15C);;;;;;;;
lifestage;Lifestage of individual prey (A=adult, J=Juvenile (larva or nymph), P=pupae);;;;;;;;
choice24;If the prey was chosen (1) or not (0) during 24 hours;;;;;;;;
density;The number of meriz in each trial (1,2,5,10,20);;;;;;;;
status24;Whether the prey was consumed (c), partially consumed (pc), or intact (i);;;;;;;;
;;;;;;;;;
trial;species;prey_origin;prey_family;temp;lifestage;choice24;status24;meriz_density;Number of Prey
1;ANATA;native;dipetera;4;a;0;i;5;1
2;CALLI;invasive;dipetera;4;a;0;i;10;1
3;CALLI;invasive;dipetera;15;j;1;pc;5;1
4;CALLI;invasive;dipetera;15;j;1;pc;5;1
5;CALLI;invasive;dipetera;15;j;0;i;5;1
6;CALLI;invasive;dipetera;15;j;1;pc;5;1
7;CALLI;invasive;dipetera;15;j;0;i;10;1
8;CALLI;invasive;dipetera;15;j;1;pc;10;1
9;CALLI;invasive;dipetera;15;j;1;c;10;1
10;CALLI;invasive;dipetera;15;j;1;pc;10;1
11;CALLI;invasive;dipetera;15;j;0;i;10;1
12;CALLI;invasive;dipetera;15;j;0;i;10;1
13;CALLI;invasive;dipetera;15;j;0;i;10;1
14;CALLI;invasive;dipetera;15;j;0;i;10;1
15;CALLI;invasive;dipetera;15;j;0;i;10;1
16;CALLI;invasive;dipetera;15;j;0;i;20;1
17;CALLI;invasive;dipetera;15;j;0;i;20;1
18;CALLI;invasive;dipetera;15;j;0;i;20;1
19;CALLI;invasive;dipetera;15;j;0;i;20;1
20;CALLI;invasive;dipetera;15;j;0;i;20;1
21;CALYCO;native;dipetera;4;a;0;i;5;1
22;CALYCO;native;dipetera;4;a;0;i;5;1
23;CALYCO;native;dipetera;4;a;1;c;5;1
24;CALYCO;native;dipetera;4;a;1;c;5;1
25;CALYCO;native;dipetera;4;a;1;c;5;1
26;CALYCO;native;dipetera;10;a;1;c;10;1
27;CALYCO;native;dipetera;10;a;1;c;10;1
28;CALYCO;native;dipetera;10;a;1;c;10;1
29;CALYCO;native;dipetera;10;a;1;c;10;1
30;CALYCO;native;dipetera;10;a;1;c;5;1
31;CALYCO;native;dipetera;10;a;1;c;5;1
32;CALYCO;native;dipetera;10;a;1;c;5;1
33;CALYCO;native;dipetera;10;a;0;i;5;1
34;FUCEL;invasive;dipetera;4;p;0;i;2;1
35;FUCEL;invasive;dipetera;4;p;0;i;2;1
36;FUCEL;invasive;dipetera;4;p;0;i;5;1
37;FUCEL;invasive;dipetera;4;p;0;i;5;1
38;FUCEL;invasive;dipetera;4;a;0;i;5;1
39;FUCEL;invasive;dipetera;4;p;0;i;5;1
40;FUCEL;invasive;dipetera;4;p;0;i;5;1
41;FUCEL;invasive;dipetera;10;j;1;c;10;1
42;FUCEL;invasive;dipetera;10;j;1;c;10;1
43;FUCEL;invasive;dipetera;10;j;1;c;10;1
44;FUCEL;invasive;dipetera;10;j;1;c;10;1
45;FUCEL;invasive;dipetera;10;j;1;pc;10;1
46;FUCEL;invasive;dipetera;10;j;1;pc;1;1
47;FUCEL;invasive;dipetera;10;j;1;pc;1;1
48;FUCEL;invasive;dipetera;10;j;1;pc;1;1
49;FUCEL;invasive;dipetera;10;j;1;c;2;1
50;FUCEL;invasive;dipetera;10;j;1;pc;2;1
51;FUCEL;invasive;dipetera;10;a;0;i;5;1
52;FUCEL;invasive;dipetera;10;a;0;i;5;1
53;FUCEL;invasive;dipetera;10;a;0;i;5;1
54;FUCEL;invasive;dipetera;10;a;0;i;5;1
55;FUCEL;invasive;dipetera;15;j;1;c;1;1
56;FUCEL;invasive;dipetera;15;j;1;pc;1;1
57;FUCEL;invasive;dipetera;15;j;1;c;1;1
58;FUCEL;invasive;dipetera;15;j;1;c;1;1
59;FUCEL;invasive;dipetera;15;j;1;c;5;1
60;FUCEL;invasive;dipetera;15;j;1;c;5;1
61;FUCEL;invasive;dipetera;15;j;1;c;5;1
62;FUCEL;invasive;dipetera;15;j;1;c;5;1
63;PRING;native;lepidoptera;4;j;1;c;2;1
64;PRING;native;lepidoptera;4;j;0;i;10;1
65;PRING;native;lepidoptera;4;j;0;i;10;1
66;PRING;native;lepidoptera;4;j;1;pc;10;1
67;PRING;native;lepidoptera;10;j;1;c;10;1
68;PRING;native;lepidoptera;10;j;1;c;10;1
69;PRING;native;lepidoptera;10;j;1;c;10;1
70;PRING;native;lepidoptera;10;j;0;i;10;1
71;PRING;native;lepidoptera;10;j;1;c;10;1
72;PRING;native;lepidoptera;10;j;1;c;10;1
73;PRING;native;lepidoptera;10;j;1;pc;5;1
74;PRING;native;lepidoptera;10;j;0;i;5;1
75;PRING;native;lepidoptera;15;j;1;c;10;1
76;PRING;native;lepidoptera;15;j;1;c;10;1
77;PRING;native;lepidoptera;15;j;1;pc;10;1
78;PRING;native;lepidoptera;15;j;0;i;10;1
79;PRING;native;lepidoptera;15;j;1;c;10;1
80;PRING;native;lepidoptera;15;j;1;c;10;1
81;PRING;native;lepidoptera;15;j;1;c;10;1
82;PRING;native;lepidoptera;15;j;1;c;10;1
83;PRING;native;lepidoptera;15;j;1;c;10;1
84;PRING;native;lepidoptera;15;j;1;c;10;1
85;PRING;native;lepidoptera;15;j;1;c;10;1
86;PRING;native;lepidoptera;15;j;1;c;10;1
87;WEEVIL;native;coleoptera;4;j;1;c;5;1
88;WEEVIL;native;coleoptera;4;j;1;c;5;1
89;CALYCO;native;diptera;4;j;1;pc;1;2
90;CALYCO;native;diptera;4;a;0;i;1;2
91;CALYCO;native;diptera;4;j;1;pc;1;2
92;CALYCO;native;diptera;4;a;0;i;1;2
