group;time_s;distance_cm;visits_n
acaena;0;0;0
acaena;0;0;1
acaena;600;6;3
acaena;600;10;0
acaena;0;0;0
acaena;600;10;1
acaena;0;0;0
acaena;471;20;2
acaena;0;0;0
acaena;141;30;2
acaena;600;10;1
acaena;600;10;1
blank_acaena;600;10;1
blank_acaena;74;10;0
blank_acaena;55;10;3
blank_acaena;0;0;2
blank_acaena;600;10;1
blank_acaena;0;0;1
blank_acaena;600;10;10
blank_acaena;363;20;2
blank_acaena;600;10;1
blank_acaena;201;30;3
blank_acaena;0;0;0
blank_acaena;0;0;0
seaweed;0;0;0
seaweed;600;10;1
seaweed;101;26;3
seaweed;0;0;0
seaweed;0;0;0
seaweed;29;6;1
seaweed;27;6;1
seaweed;717;20;2
seaweed;0;0;0
seaweed;555;36;3
seaweed;600;10;1
seaweed;0;0;0
blank_seaweed;600;10;1
blank_seaweed;0;0;0
blank_seaweed;333;30;3
blank_seaweed;25;10;2
blank_seaweed;600;10;1
blank_seaweed;600;10;1
blank_seaweed;0;0;0
blank_seaweed;830;20;2
blank_seaweed;600;10;1
blank_seaweed;495;36;4
blank_seaweed;0;0;0
blank_seaweed;600;10;1
